rma,part_no,part_description,vie_name
FMSV2021110097,57A12657080,CAP +UV ROHS,Nắp nhựa
FMSV2021110097,613Y200003_,LG LENS ASS/Y FX 35A      ROHS,
FMSV2021110097,371Y200081_,NOZZLE,Vòi phun
FMSV2022020018,23B8087081,ISA RING 2,Vòng sắt
FMSV2022020018,23B1040417A,ISA RING 1,Vòng sắt
FMSV2022020018,68A12515180,FSA-C642AH / 9.3,Vỏ ống luồn
FMSV2022020018,370Y200590_,AW TUBE ASS''Y,Kênh khí nước
FMSV2022020018,68B12952250,WATER JET TUBE,Kênh nước phụ
FMSV2022020018,68A11928100,FCT-FC287A ROHS,Kênh sinh thiết
FMSV2022020018,68B1140782A,PIPE ROHS,Ống nối (đồng)
FMSV2022020018,68B1207810A,RUBBER FOR BSA,Vỏ cao su
FMSV2022020027,848Y200213B,CHA-C688A,Đầu thu hình
FMSV2022020027,68B9893902,RUBBER FOR BSA ROHS,Vỏ cao su
FMSV2022030006,343A1305096C,INSERTION SECTION ASSY(C656A),Bộ phận thân ống soi
FMSV2022030006,42B593410A,PIPE SLEEVE,Ống nối (đồng)
FMSV2022030006,54A3792370,NUT ASSY,Đai ốc (đồng)
FMSV2022030006,343A1295408G,LG FLEXIBLE SECTION ASSY ROHS,Vỏ ống dẫn
FMSV2022030006,113Y200431B,NT TGCONT PCB,Bo mạch
FMSV2022030006,113Y200432B,NEW TV INTERFACE PCB,Bo mạch
FMSV2022030006,343A1331617D,VCA,Bộ phận kết nối tín hiệu
FMSV2022030014,343A13050790,ISA-G201A-6(AT/WT),Bộ phận thân ống soi
FMSV2022030014,42B632243A,SLEEVE ROHS,Ống nối (đồng)
FMSV2022030014,54A3792370,NUT ASSY,Đai ốc (đồng)
FMSV2022030014,113Y200431A,NT TGCONT PCB,Bo mạch
FMSV2022030014,113Y200432A,NEW TV INTERFACE PCB,Bo mạch
FMSV2022030014,343A1331619D,VIDEO CONNECTOR ASS'Y,Bộ phận kết nối tín hiệu
FMSV2022030014,343A1295408G,LG FLEXIBLE SECTION ASSY ROHS,Vỏ ống dẫn
FMSV2022030034,68B12541530,FITTING PART,Vòng sắt
FMSV2022030034,68A1304928B,FCT-G391A,Kênh sinh thiết
FMSV2022030034,370Y200592_,AIR/WATER TUBE ASS''Y,Kênh khí nước
FMSV2022030034,68B1318113A,J TUBE,Kênh nước phụ
FMSV2022030034,68B989926A,RBS-G181A,Vỏ cao su
FMSV2022040054,898Y201077D,ISA-G402A,Bộ phận thân ống soi
FMSV2022040054,347N120259_,ROUND CORNER SLEEVE,Ống nối (đồng)
FMSV2022040054,347N100996C,HANGING SLEEVE,Ống nối (đồng)
FMSV2022040054,369N100226D,WIRE SLEEVE,Ống nối (đồng)
FMSV2022040054,350N102482C,FCTINLET COVER RUBBER,Vòng cao su
FMSV2022040054,898Y201120C,FSB A,Vỏ ống dẫn
FMSV2022050009,342A1295820E,BSA  G391A,
FMSV2022050009,68B989926A,RBS-G181A,Vỏ cao su
FMSV2022050009,42B632243A,SLEEVE ROHS,Ống nối (đồng)
FMSV2022050009,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2022050010,342A1295820E,BSA  G391A,
FMSV2022050010,68B989926A,RBS-G181A,Vỏ cao su
FMSV2022050010,42B632243A,SLEEVE ROHS,Ống nối (đồng)
FMSV2022050010,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2022050018,848Y200137B,CHA-C747A,Đầu thu hình
FMSV2022050018,385N200076B,RBS,Vỏ cao su
FMSV2022050043,343A1295408G,LG FLEXIBLE SECTION ASSY ROHS,Vỏ ống dẫn
FMSV2022050043,42B1289482A,SLEEVE(ANGLE)5 FC675A ROHS,Ống nối (đồng)
FMSV2022050043,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2022050043,68A989943G,FSA-G176B,Vỏ ống luồn
FMSV2022050043,342A1064908,BSA-G222A,Bộ phận uốn cong
FMSV2022050043,68B10004221,RUBBER FOR BSA ROHS,Vỏ cao su
FMSV2022050043,23B1021211A,ISA RING 2,Vòng sắt
FMSV2022050043,23B1040417A,ISA RING 1,Vòng sắt
FMSV2022050043,370Y200600_,AIR TUBE,Kênh khí
FMSV2022050043,370Y200595_,WATER TUBE,Kênh nước
FMSV2022050048,343A1191210A,INSERTING SECTION ASS'Y,Bộ phận thân ống soi
FMSV2022050048,375N200101_,O-RING,Vòng cao su
FMSV2022050048,343A1295776C,LG FLEXBLE SECTION,Vỏ ống dẫn
FMSV2022050048,42B315882A,SLEEVE                    ROHS,
FMSV2022050048,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2022060025,342A1295820E,BSA  G391A,
FMSV2022060025,68B989926A,RBS-G181A,Vỏ cao su
FMSV2022060025,68B12541530,FCT RING,Vòng sắt
FMSV2022060025,68A1304928B,FCT-G391A,Kênh sinh thiết
FMSV2022060025,370Y200592_,AIR/WATER TUBE ASS''Y,Kênh khí nước
FMSV2022060025,68B1318113A,J TUBE,Kênh nước phụ
FMSV2022060025,42B632243A,SLEEVE ROHS,Ống nối (đồng)
FMSV2022060025,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2022060028,342A1295820E,BSA  G391A,
FMSV2022060028,68B989926A,RBS-G181A,Vỏ cao su
FMSV2022060028,23B1295823A,RING2 FG391A ROHS,Vòng sắt
FMSV2022060028,42B632243A,SLEEVE ROHS,Ống nối (đồng)
FMSV2022060028,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2022060028,370Y200592_,AIR/WATER TUBE ASS''Y,Kênh khí nước
FMSV2022060028,68B1318113A,J TUBE,Kênh nước phụ
FMSV2022060029,342A1295887A,BENDING SECTION ASSY,Bộ phận uốn cong
FMSV2022060029,68B9893902,RUBBER FOR BSA ROHS,Vỏ cao su
FMSV2022060029,68B1235415A,FCT RING,Vòng sắt
FMSV2022060029,68A1304877A,FCT-C692A,Kênh sinh thiết
FMSV2022060029,370Y200585_,AW TUBE ASS'Y,Kênh khí nước
FMSV2022060029,68B12952250,WATER JET TUBE,Kênh nước phụ
FMSV2022060029,42B593410A,PIPE SLEEVE,Ống nối (đồng)
FMSV2022060029,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2022060029,56B11069912,BELT,dây đai
