rma,r_code,r_description,vie_name
FMSV2023080014,R002,ANGL. Replace LR Lock Knob,Bộ phận điều khiển
FMSV2023090234,R002,ANGL. Replace LR Lock Knob,Bộ phận điều khiển
FMSV2023100038,R005,ANGL. Repair Angle Knob Mechanism Section,Bộ phận điều khiển
FMSV2023110006,R005,ANGL. Repair Angle Knob Mechanism Section,Bộ phận điều khiển
FMSV2024010043,R005,ANGL. Repair Angle Knob Mechanism Section,Bộ phận điều khiển
FMSV2023100010,R008,AWT. Replace Air-Water Tube Assembly,Kênh khí nước
FMSV2023120041,R008,AWT. Replace Air-Water Tube Assembly,Kênh khí nước
FMSV2023090133,R008,AWT. Replace Air-Water Tube Assembly,Kênh khí nước
FMSV2023090154,R008,AWT. Replace Air-Water Tube Assembly,Kênh khí nước
FMSV2023090185,R008,AWT. Replace Air-Water Tube Assembly,Kênh khí nước
FMSV2023110046,R008,AWT. Replace Air-Water Tube Assembly,Kênh khí nước
FMSV2023120008,R008,AWT. Replace Air-Water Tube Assembly,Kênh khí nước
FMSV2023120049,R009,AWT. Cleaning Air-Water Tube Assembly,Kênh khí nước
FMSV2023090224,R010,AWT. Replace Air-Water Tube Assembly with RBS,Kênh khí nước
FMSV2023080038,R012,BSA. Replace Bending Section Assembly with FCT/AWT,Bộ phận uốn cong
FMSV2023080085,R012,BSA. Replace Bending Section Assembly with FCT/AWT,Bộ phận uốn cong
FMSV2023100011,R012,BSA. Replace Bending Section Assembly with FCT/AWT,Bộ phận uốn cong
FMSV2023060068,R012,BSA. Replace Bending Section Assembly with FCT/AWT,Bộ phận uốn cong
FMSV2023090015,R012,BSA. Replace Bending Section Assembly with FCT/AWT,Bộ phận uốn cong
FMSV2023090021,R012,BSA. Replace Bending Section Assembly with FCT/AWT,Bộ phận uốn cong
FMSV2023090150,R012,BSA. Replace Bending Section Assembly with FCT/AWT,Bộ phận uốn cong
FMSV2023110035,R012,BSA. Replace Bending Section Assembly with FCT/AWT,Bộ phận uốn cong
FMSV2023110035,R012,BSA. Replace Bending Section Assembly with FCT/AWT,Bộ phận uốn cong
FMSV2023050072,R012,BSA. Replace Bending Section Assembly with FCT/AWT,Bộ phận uốn cong
FMSV2023070056,R012,BSA. Replace Bending Section Assembly with FCT/AWT,Bộ phận uốn cong
FMSV2023030069,R012,BSA. Replace Bending Section Assembly with FCT/AWT,Bộ phận uốn cong
FMSV2023100010,R012,BSA. Replace Bending Section Assembly with FCT/AWT,Bộ phận uốn cong
FMSV2023120007,R012,BSA. Replace Bending Section Assembly with FCT/AWT,Bộ phận uốn cong
FMSV2023120041,R012,BSA. Replace Bending Section Assembly with FCT/AWT,Bộ phận uốn cong
