rma,part_no,part_description,vie_name
FMSV2023090091,342A1334333J,BSA-D126A,Bộ phận uốn cong
FMSV2023090091,385N130001B,RBS-D126A,Vỏ cao su
FMSV2023090091,369N130049A,FCT RING,Vòng sắt
FMSV2023090091,370Y200989B,FCT-D126A,Kênh sinh thiết
FMSV2023090091,370Y200313_,A/W TUBE,Kênh khí nước
FMSV2023090091,347N120223A,ROUND CORNER SLEEVE,Ống nối (đồng)
FMSV2023090091,347N100996C,HANGING SLEEVE,Ống nối (đồng)
FMSV2023090091,369N100226D,WIRE SLEEVE,Ống nối (đồng)
FMSV2023090093,606Y200046B,LG BUNDLE,Dây dẫn sáng
FMSV2023090093,370Y200577A,FCT-G76D,Kênh sinh thiết
FMSV2023090093,68B12655070,RING,Vòng sắt
FMSV2023090093,370Y200600_,AIR TUBE,Kênh khí
FMSV2023090093,370Y200595_,WATER TUBE,Kênh nước
FMSV2023090093,57A12657080,CAP +UV ROHS,Nắp nhựa
FMSV2023090093,371Y200081_,NOZZLE,Vòi phun
FMSV2023090093,53B884040A,SPECIAL SCREW,Ốc vít
FMSV2023090093,342A979721A,BSA-G166A,Bộ phận uốn cong
FMSV2023090093,68B9804212,RUBBER FOR BSA ROHS,Vỏ cao su
FMSV2023090093,343A1295408G,LG FLEXIBLE SECTION ASSY ROHS,Vỏ ống dẫn
FMSV2023090093,343A1331615E,VIDEO CONNECTOR ASS'Y,Bộ phận kết nối tín hiệu
FMSV2023090093,42B632243A,SLEEVE ROHS,Ống nối (đồng)
FMSV2023090093,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2023090095,343A13050790,ISA-G201A-6(AT/WT),Bộ phận thân ống soi
FMSV2023090095,42B632243A,SLEEVE ROHS,Ống nối (đồng)
FMSV2023090095,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2023090095,42B12891190,SLIDE SLEEVE,Ống nối
FMSV2023090096,343A13050790,ISA-G201A-6(AT/WT),Bộ phận thân ống soi
FMSV2023090096,42B632243A,SLEEVE ROHS,Ống nối (đồng)
FMSV2023090096,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2023090096,343A1295408G,LG FLEXIBLE SECTION ASSY ROHS,Vỏ ống dẫn
FMSV2023090096,42B12891190,SLIDE SLEEVE,Ống nối
FMSV2023090097,10A1224196D,CHA-C308A,Đầu thu hình
FMSV2023090097,370Y200590_,AW TUBE ASS''Y,Kênh khí nước
FMSV2023090097,68B12952250,WATER JET TUBE,Kênh nước phụ
FMSV2023090097,57B12733300,CAP,Nắp nhựa
FMSV2023090097,371Y200052_,NOZZLE,Vòi phun
FMSV2023090097,342A1251557C,BENDING SECTION C643A     ROHS,Bộ phận uốn cong
FMSV2023090097,42B593410A,PIPE SLEEVE,Ống nối (đồng)
FMSV2023090097,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2023090097,68B1207810A,RUBBER FOR BSA,Vỏ cao su
FMSV2023090097,56A1082711A,WIRE ASSY,Dây cáp (thép)
FMSV2023090098,343A1251586D,ISA-C643A,Bộ phận thân ống soi
FMSV2023090098,42B593410A,PIPE SLEEVE,Ống nối (đồng)
FMSV2023090098,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2023090099,343A1191210E,INSERTING SECTION ASS'Y,Bộ phận thân ống soi
FMSV2023090099,343A1327294J,VIDEO CONNECTOR ASSY,Bộ phận kết nối tín hiệu
FMSV2023090099,343A1295776C,LG FLEXBLE SECTION,Vỏ ống dẫn
FMSV2023090099,113Y200191_,AFE PCB ASSY ROHS,Bo mạch
FMSV2023090099,110A1318460D,530 MICON PCB,Bo mạch
FMSV2023090099,57A1235205C,AIRTIGHT CAP,Nắp chống nước
FMSV2023090099,56B11069912,BELT,dây đai
FMSV2023090099,42B315882A,SLEEVE                    ROHS,Ống nối (đồng)
FMSV2023090099,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2023090099,115K86129A,HEAT SHIRINK TUBE(26mm),Ống co nhiệt
FMSV2023090102,10A1230572A,CHA-G201A ROHS,Đầu thu hình
FMSV2023090102,57A12657080,CAP +UV ROHS,Nắp nhựa
FMSV2023090102,371Y200081_,NOZZLE,Vòi phun
FMSV2023090102,53B884040A,SPECIAL SCREW,Ốc vít
FMSV2023090102,370Y200577A,FCT-G76D,Kênh sinh thiết
FMSV2023090102,68B12655070,RING,Vòng sắt
FMSV2023090102,370Y200600_,AIR TUBE,Kênh khí
FMSV2023090102,370Y200595_,WATER TUBE,Kênh nước
FMSV2023090102,342A979721A,BSA-G166A,Bộ phận uốn cong
FMSV2023090102,68B9804212,RUBBER FOR BSA ROHS,Vỏ cao su
FMSV2023090102,42B632243A,SLEEVE ROHS,Ống nối (đồng)
FMSV2023090102,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2023090103,830Y200633B,BSA-G400A,Bộ phận uốn cong
FMSV2023090103,68B989926A,RBS-G181A,Vỏ cao su
FMSV2023090103,347N130337_,HANGING SLEEVE,Ống nối (đồng)
FMSV2023090103,68B12541530,FCT RING,Vòng sắt
FMSV2023090103,370Y200213_,FCT-G391AH,Kênh sinh thiết
FMSV2023090103,68A1336784A,A/W TUBE,Kênh khí nước
FMSV2023090103,68A1336787A,J TUBE,Kênh nước phụ
FMSV2023090103,350N130688_,RAIL COVER,Thanh ray
FMSV2023090103,301SS172520_,SCREW,Ốc vít
FMSV2023090103,363N130348_,SLIT GUIDE RAIL,Thanh ray
FMSV2023090103,363N200369_,SPLING HOLDING BASE(1.2MM),Giá đỡ
FMSV2023090103,401N130035_,SPLING HOLDING PLATE(1.2MM),Giá đỡ
FMSV2023090103,308N130116_,SPECIAL SCREW,Ốc vít
FMSV2023090103,110M171001T_,SCREW,Ốc vít
FMSV2023090103,350N102482C,FCTINLET COVER RUBBER,Vòng cao su
FMSV2023090103,340Y200004A,LR LOCK KNOB              ROHS,Khóa điều khiển
FMSV2023090103,375N100282A,O RING W2,Vòng cao su
FMSV2023090103,375N200200B,O-RING,Vòng cao su
FMSV2023090105,343A1305054E,ISA-G313A,Bộ phận thân ống soi
FMSV2023090105,343A1295408G,LG FLEXIBLE SECTION ASSY ROHS,Vỏ ống dẫn
FMSV2023090105,113Y200191_,AFE PCB ASSY ROHS,Bo mạch
FMSV2023090105,110A1318460D,530 MICON PCB,Bo mạch
FMSV2023090105,343A1327294J,VIDEO CONNECTOR ASSY,Bộ phận kết nối tín hiệu
FMSV2023090105,42B632243A,SLEEVE ROHS,Ống nối (đồng)
FMSV2023090105,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2023090106,42B593410A,PIPE SLEEVE,Ống nối (đồng)
FMSV2023090106,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2023090106,23A12895940,FITTING PART ASSY ROHS,Vòng sắt
FMSV2023090106,343A1295408G,LG FLEXIBLE SECTION ASSY ROHS,Vỏ ống dẫn
FMSV2023090106,113Y200431B,NT TGCONT PCB,Bo mạch
FMSV2023090106,113Y200432B,NEW TV INTERFACE PCB,Bo mạch
FMSV2023090106,343A12245000,VIDEO CONNECTOR ASSY,Bộ phận kết nối tín hiệu
FMSV2023090106,343A1251585E,ISA-C642A,Bộ phận thân ống soi
FMSV2023090107,342A1295820E,BSA  G391A,Bộ phận uốn cong
FMSV2023090107,68B989926A,RBS-G181A,Vỏ cao su
FMSV2023090107,42B632243A,SLEEVE ROHS,Ống nối (đồng)
FMSV2023090107,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2023090107,343A1295408G,LG FLEXIBLE SECTION ASSY ROHS,Vỏ ống dẫn
FMSV2023090108,342A1295887A,BENDING SECTION ASSY,Bộ phận uốn cong
FMSV2023090108,68B9893902,RUBBER FOR BSA ROHS,Vỏ cao su
FMSV2023090108,68A1295935A,FLEXIBLE SECTION ASSY,Vỏ ống luồn
FMSV2023090108,23B8087081,ISA RING 2,Vòng sắt
FMSV2023090108,23B1040417A,ISA RING 1,Vòng sắt
FMSV2023090108,370Y200585_,AW TUBE ASS'Y,Kênh khí nước
FMSV2023090108,68B12952250,WATER JET TUBE,Kênh nước phụ
FMSV2023090108,42B593410A,PIPE SLEEVE,Ống nối (đồng)
FMSV2023090108,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2023090108,343A1295408G,LG FLEXIBLE SECTION ASSY ROHS,Vỏ ống dẫn
FMSV2023090108,343A1331775D,VIDEO CONNECTOR ASS'Y,Bộ phận kết nối tín hiệu
FMSV2023090108,56B11069912,BELT,dây đai
FMSV2023090109,342A1295820E,BSA  G391A,Bộ phận uốn cong
FMSV2023090109,68B989926A,RBS-G181A,Vỏ cao su
FMSV2023090109,68A1296102E,FSA-G391A,Vỏ ống luồn
FMSV2023090109,23B1276136A,ISA RING 2,Vòng sắt
FMSV2023090109,23B1040417A,ISA RING 1,Vòng sắt
FMSV2023090109,68B12541530,FCT RING,Vòng sắt
FMSV2023090109,68A1304928B,FCT-G391A,Kênh sinh thiết
FMSV2023090109,370Y200592_,AIR/WATER TUBE ASS''Y,Kênh khí nước
FMSV2023090109,68B1318113A,J TUBE,Kênh nước phụ
FMSV2023090109,42B632243A,SLEEVE ROHS,Ống nối (đồng)
FMSV2023090109,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2023090109,343A1295408G,LG FLEXIBLE SECTION ASSY ROHS,Vỏ ống dẫn
FMSV2023090109,56B11069912,BELT,dây đai
FMSV2023090109,42B12891190,SLIDE SLEEVE,Ống nối
FMSV2023090110,343A1251586D,ISA-C643A,Bộ phận thân ống soi
FMSV2023090110,33B1264886B,COUPLING RING ROHS,Vòng sắt
FMSV2023090110,111M200201T_,SCREW,Ốc vít
FMSV2023090110,53B1039848A,SCREW,Ốc vít
FMSV2023090110,301A1032362N,OSA,Tay cầm điều khiển
FMSV2023090110,11A1032325A,SIDE COVER,Vỏ nhựa
FMSV2023090110,53A1032323B,SPECIAL SCREW ASS'Y,
FMSV2023090110,53B1119108A,SCREW,Ốc vít
FMSV2023090110,120M140151T_,SCREW,Ốc vít
FMSV2023090110,343A1295792D,LG CONNECTOR ASSY,Đầu kết nối
FMSV2023090110,113Y200431B,NT TGCONT PCB,Bo mạch
FMSV2023090110,113Y200432B,NEW TV INTERFACE PCB,Bo mạch
FMSV2023090110,343A1331615E,VIDEO CONNECTOR ASS'Y,Bộ phận kết nối tín hiệu
FMSV2023090110,57A1235205C,AIRTIGHT CAP,Nắp chống nước
FMSV2023090110,343A1295408G,LG FLEXIBLE SECTION ASSY ROHS,Vỏ ống dẫn
FMSV2023090110,343A12957820,LG FLEXIBLE SECTION,Vỏ ống dẫn
FMSV2023090110,56A1082711A,WIRE ASSY,Dây cáp (thép)
FMSV2023090110,42B593410A,PIPE SLEEVE,Ống nối (đồng)
FMSV2023090110,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2023090111,343A10699720,ISA-G229A,Bộ phận thân ống soi
FMSV2023090111,343A1039651D,LGFLEXIBLESECTION　ASS'Y,Vỏ ống dẫn
FMSV2023090111,54A3792370,NUT ASSY,Đai ốc (đồng)
FMSV2023090111,42B632243A,SLEEVE ROHS,Ống nối (đồng)
FMSV2023090111,110A12238710,SET-UP BOARD,Bo mạch
FMSV2023090112,56A1082711A,WIRE ASSY,Dây cáp (thép)
FMSV2023090112,68A1295935A,FLEXIBLE SECTION ASSY,Vỏ ống luồn
FMSV2023090112,23B8087081,ISA RING 2,Vòng sắt
FMSV2023090112,23B1040417A,ISA RING 1,Vòng sắt
FMSV2023090112,342A1295887A,BENDING SECTION ASSY,Bộ phận uốn cong
FMSV2023090112,68B9893902,RUBBER FOR BSA ROHS,Vỏ cao su
FMSV2023090112,42B593410A,PIPE SLEEVE,Ống nối (đồng)
FMSV2023090112,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2023090112,343A1295408G,LG FLEXIBLE SECTION ASSY ROHS,Vỏ ống dẫn
FMSV2023090112,68B1235415A,FCT RING,Vòng sắt
FMSV2023090112,68A1304877A,FCT-C692A,Kênh sinh thiết
FMSV2023090112,370Y200585_,AW TUBE ASS'Y,Kênh khí nước
FMSV2023090112,68B12952250,WATER JET TUBE,Kênh nước phụ
FMSV2023090113,42B315882A,SLEEVE                    ROHS,Ống nối (đồng)
FMSV2023090113,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2023090113,343A1191210A,INSERTING SECTION ASS'Y,Bộ phận thân ống soi
FMSV2023090113,343A13272940,VCA,Bộ phận kết nối tín hiệu
FMSV2023090113,343A1295776C,LG FLEXBLE SECTION,Vỏ ống dẫn
FMSV2023090118,68A1304928B,FCT-G391A,Kênh sinh thiết
FMSV2023090118,68B12541530,FCT RING,Vòng sắt
FMSV2023090118,370Y200592_,AIR/WATER TUBE ASS''Y,Kênh khí nước
FMSV2023090118,68B1318113A,J TUBE,Kênh nước phụ
FMSV2023090118,317Y200047B,CAP,Nắp nhựa
FMSV2023090118,371Y200079B,NOZZLE,Vòi phun
FMSV2023090118,342A1295820E,BSA  G391A,Bộ phận uốn cong
FMSV2023090118,68B989926A,RBS-G181A,Vỏ cao su
FMSV2023090118,42B632243A,SLEEVE ROHS,Ống nối (đồng)
FMSV2023090118,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2023090118,343A1295408G,LG FLEXIBLE SECTION ASSY ROHS,Vỏ ống dẫn
FMSV2023090118,343A1331775D,VIDEO CONNECTOR ASS'Y,Bộ phận kết nối tín hiệu
FMSV2023090118,56B11069912,BELT,dây đai
FMSV2023090118,57A1235205C,AIRTIGHT CAP,Nắp chống nước
FMSV2023090119,343A1296026C,INSERTION ASSY,Bộ phận thân ống soi
FMSV2023090119,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2023090119,42B3158820,SLEEVE,Ống nối (đồng)
FMSV2023090119,115K86129A,HEAT SHIRINK TUBE(26mm),Ống co nhiệt
FMSV2023090120,858Y200030E,VCA,Bộ phận kết nối tín hiệu
FMSV2023090120,68B12541530,FCT RING,Vòng sắt
FMSV2023090120,68A1304928B,FCT-G391A,Kênh sinh thiết
FMSV2023090120,370Y200592_,AIR/WATER TUBE ASS''Y,Kênh khí nước
FMSV2023090120,68B1318113A,J TUBE,Kênh nước phụ
FMSV2023090120,342A1295820E,BSA  G391A,Bộ phận uốn cong
FMSV2023090120,68B989926A,RBS-G181A,Vỏ cao su
FMSV2023090120,42B632243A,SLEEVE ROHS,Ống nối (đồng)
FMSV2023090120,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2023090121,68B12541530,FCT RING,Vòng sắt
FMSV2023090121,68A1304928B,FCT-G391A,Kênh sinh thiết
FMSV2023090121,370Y200592_,AIR/WATER TUBE ASS''Y,Kênh khí nước
FMSV2023090121,68B1318113A,J TUBE,Kênh nước phụ
FMSV2023090121,42B632243A,SLEEVE ROHS,Ống nối (đồng)
FMSV2023090121,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2023090121,343A1295408G,LG FLEXIBLE SECTION ASSY ROHS,Vỏ ống dẫn
FMSV2023090121,343A1331775D,VIDEO CONNECTOR ASS'Y,Bộ phận kết nối tín hiệu
FMSV2023090121,342A1295820E,BSA  G391A,Bộ phận uốn cong
FMSV2023090121,68B989926A,RBS-G181A,Vỏ cao su
FMSV2023090123,68B12541740,AIR WATER TUBE ROHS,Kênh khí nước
FMSV2023090123,68B12952250,WATER JET TUBE,Kênh nước phụ
FMSV2023090123,57B12730420,DISTAL END CAP ROHS,Nắp nhựa
FMSV2023090123,68B1207810A,RUBBER FOR BSA,Vỏ cao su
FMSV2023090123,42B593410A,PIPE SLEEVE,Ống nối (đồng)
FMSV2023090123,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2023090123,68A1265571J,FSA-C643AH / 9.3,Vỏ ống luồn
FMSV2023090123,23B1040417A,ISA RING 1,Vòng sắt
FMSV2023090123,23B11190171,ISA RING2,Vòng sắt
FMSV2023090123,343A1295408G,LG FLEXIBLE SECTION ASSY ROHS,Vỏ ống dẫn
FMSV2023090123,343A1331621D,VIDEO CONNECTOR ASS’Y,Bộ phận kết nối tín hiệu
FMSV2023090123,56B11069912,BELT,dây đai
FMSV2023090123,56A1082711A,WIRE ASSY,Dây cáp (thép)
FMSV2023090123,371Y200060_,NOZZLE,Vòi phun
FMSV2023090123,57A1235205C,AIRTIGHT CAP,Nắp chống nước
FMSV2023090123,342A1266008F,BSA-C666A,Bộ phận uốn cong
FMSV2023090124,10A1225221B,CAMERA HEAD ASS''Y,Đầu thu hình
FMSV2023090124,57B939920B,CAP,Nắp nhựa
FMSV2023090124,68B11140392,NOZZLE,Vòi phun
FMSV2023090124,53B884040A,SPECIAL SCREW,Ốc vít
FMSV2023090124,68B9804212,RUBBER FOR BSA ROHS,Vỏ cao su
FMSV2023090128,68B12541530,FCT RING,Vòng sắt
FMSV2023090128,68A1304928B,FCT-G391A,Kênh sinh thiết
FMSV2023090128,370Y200592_,AIR/WATER TUBE ASS''Y,Kênh khí nước
FMSV2023090128,68B1318113A,J TUBE,Kênh nước phụ
FMSV2023090128,42B632243A,SLEEVE ROHS,Ống nối (đồng)
FMSV2023090128,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2023090128,342A1295820E,BSA  G391A,Bộ phận uốn cong
FMSV2023090128,68B989926A,RBS-G181A,Vỏ cao su
FMSV2023090128,343A1331775D,VIDEO CONNECTOR ASS'Y,Bộ phận kết nối tín hiệu
FMSV2023090128,343A1295408G,LG FLEXIBLE SECTION ASSY ROHS,Vỏ ống dẫn
FMSV2023090129,12A1333617B,MAIN COVER,Vỏ nhựa
FMSV2023090129,820Y200295G,INSERTING SECTION ASSY,Bộ phận thân ống soi
FMSV2023090129,42B632243A,SLEEVE ROHS,Ống nối (đồng)
FMSV2023090129,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2023090130,301A1333651P,OSA,Tay cầm điều khiển
FMSV2023090130,820Y200295G,INSERTING SECTION ASSY,Bộ phận thân ống soi
FMSV2023090130,42B632243A,SLEEVE ROHS,Ống nối (đồng)
FMSV2023090130,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2023090130,343A1331775D,VIDEO CONNECTOR ASS'Y,Bộ phận kết nối tín hiệu
FMSV2023090131,10A1304570J,CHA-G391A,Đầu thu hình
FMSV2023090131,68B1318113A,J TUBE,Kênh nước phụ
FMSV2023090131,370Y200592_,AIR/WATER TUBE ASS''Y,Kênh khí nước
FMSV2023090131,68A1304928B,FCT-G391A,Kênh sinh thiết
FMSV2023090131,68B12541530,FCT RING,Vòng sắt
FMSV2023090131,317Y200047B,CAP,Nắp nhựa
FMSV2023090131,371Y200079B,NOZZLE,Vòi phun
FMSV2023090131,342A1295820E,BSA  G391A,Bộ phận uốn cong
FMSV2023090131,68B989926A,RBS-G181A,Vỏ cao su
FMSV2023090131,42B632243A,SLEEVE ROHS,Ống nối (đồng)
FMSV2023090131,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2023090131,343A1295408G,LG FLEXIBLE SECTION ASSY ROHS,Vỏ ống dẫn
FMSV2023090131,343A1331775D,VIDEO CONNECTOR ASS'Y,Bộ phận kết nối tín hiệu
FMSV2023090132,343A13050790,ISA-G201A-6(AT/WT),Bộ phận thân ống soi
FMSV2023090132,42B632243A,SLEEVE ROHS,Ống nối (đồng)
FMSV2023090132,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2023090132,343A1295408G,LG FLEXIBLE SECTION ASSY ROHS,Vỏ ống dẫn
FMSV2023090132,343A1331615E,VIDEO CONNECTOR ASS'Y,Bộ phận kết nối tín hiệu
FMSV2023090132,57A1235205C,AIRTIGHT CAP,Nắp chống nước
FMSV2023090132,56B11069912,BELT,dây đai
FMSV2023090133,343A13050790,ISA-G201A-6(AT/WT),Bộ phận thân ống soi
FMSV2023090133,113Y200431B,NT TGCONT PCB,Bo mạch
FMSV2023090133,113Y200432B,NEW TV INTERFACE PCB,Bo mạch
FMSV2023090133,343A1295408G,LG FLEXIBLE SECTION ASSY ROHS,Vỏ ống dẫn
FMSV2023090133,42B632243A,SLEEVE ROHS,Ống nối (đồng)
FMSV2023090133,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2023090134,10A12305720,CAMERA HEAD ASS''Y,Đầu thu hình
FMSV2023090134,57A12657080,CAP +UV ROHS,Nắp nhựa
FMSV2023090134,371Y200081_,NOZZLE,Vòi phun
FMSV2023090134,370Y200600_,AIR TUBE,Kênh khí
FMSV2023090134,370Y200595_,WATER TUBE,Kênh nước
FMSV2023090134,343A1295408G,LG FLEXIBLE SECTION ASSY ROHS,Vỏ ống dẫn
FMSV2023090134,342A979721F,BSA-G166A,Bộ phận uốn cong
FMSV2023090134,68B9804212,RUBBER FOR BSA ROHS,Vỏ cao su
FMSV2023090134,42B632243A,SLEEVE ROHS,Ống nối (đồng)
FMSV2023090134,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2023090137,343A1191206E,INSERTING SECTION ASS'Y,Bộ phận thân ống soi
FMSV2023090137,42B315882A,SLEEVE                    ROHS,Ống nối (đồng)
FMSV2023090137,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2023090138,370Y200590_,AW TUBE ASS''Y,Kênh khí nước
FMSV2023090138,68B12952250,WATER JET TUBE,Kênh nước phụ
FMSV2023090138,68A1192810A,FCT-C310A,Kênh sinh thiết
FMSV2023090138,68B1140782A,PIPE ROHS,Ống nối (đồng)
FMSV2023090138,342A1251556A,BSA-C642A,Bộ phận uốn cong
FMSV2023090138,68B1207810A,RUBBER FOR BSA,Vỏ cao su
FMSV2023090138,68A12515180,FSA-C642AH / 9.3,Vỏ ống luồn
FMSV2023090138,23B8087081,ISA RING 2,Vòng sắt
FMSV2023090138,23B1040417A,ISA RING 1,Vòng sắt
FMSV2023090138,42B593410A,PIPE SLEEVE,Ống nối (đồng)
FMSV2023090138,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2023090138,57B12733300,CAP,Nắp nhựa
FMSV2023090138,371Y200052_,NOZZLE,Vòi phun
FMSV2023090138,53B7397530,SCREW,Ốc vít
FMSV2023090138,343A1295408G,LG FLEXIBLE SECTION ASSY ROHS,Vỏ ống dẫn
FMSV2023090138,42B12891190,SLIDE SLEEVE,Ống nối
FMSV2023090138,56A1082711A,WIRE ASSY,Dây cáp (thép)
FMSV2023090139,347N130337_,HANGING SLEEVE,Ống nối (đồng)
FMSV2023090139,350N130688_,RAIL COVER,Thanh ray
FMSV2023090139,363N130348_,SLIT GUIDE RAIL,Thanh ray
FMSV2023090139,350N102482C,FCTINLET COVER RUBBER,Vòng cao su
FMSV2023090139,363N130361_,SPLING HOLDING BASE(1.44MM),Giá đỡ
FMSV2023090139,401N130037_,SPLING HOLDING PLATE(1.44MM),Giá đỡ
FMSV2023090139,110M171001T_,SCREW,Ốc vít
FMSV2023090139,308N130116_,SPECIAL SCREW,Ốc vít
FMSV2023090139,350N120376_,COVER L,Vòng cao su
FMSV2023090139,350Y120333D,IG RUBBER CONE 11.8,Tay nắm cao su
FMSV2023090139,848Y200206B,CHA-C741A,Đầu thu hình
FMSV2023090139,7A1333929F,LGB-C728A,Dây dẫn sáng
FMSV2023090139,68A1336494A,A/W TUBE,Kênh khí nước
FMSV2023090139,370Y130089_,J TUBE,Kênh nước phụ
FMSV2023090139,317Y200121B,CAP,Nắp nhựa
FMSV2023090139,371N200076B,NOZZLE MIM,Vòi phun
FMSV2023090139,830Y200753A,BSA-C728A,Bộ phận uốn cong
FMSV2023090139,68B9893902,RUBBER FOR BSA ROHS,Vỏ cao su
FMSV2023090139,343A1335071C,FSA-C728A,Vỏ ống luồn
FMSV2023090139,370Y200005B,FCT-C728A,Kênh sinh thiết
FMSV2023090139,68B1235415A,FCT RING,Vòng sắt
FMSV2023090141,342A1334333J,BSA-D126A,Bộ phận uốn cong
FMSV2023090141,385N130001B,RBS-D126A,Vỏ cao su
FMSV2023090141,350N102482C,FCTINLET COVER RUBBER,Vòng cao su
FMSV2023090141,347N120223A,ROUND CORNER SLEEVE,Ống nối (đồng)
FMSV2023090141,347N100996C,HANGING SLEEVE,Ống nối (đồng)
FMSV2023090141,369N100226D,WIRE SLEEVE,Ống nối (đồng)
FMSV2023090145,820Y200295G,INSERTING SECTION ASSY,Bộ phận thân ống soi
FMSV2023090145,42B632243A,SLEEVE ROHS,Ống nối (đồng)
FMSV2023090145,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2023090145,343A1295408G,LG FLEXIBLE SECTION ASSY ROHS,Vỏ ống dẫn
FMSV2023090145,343A1331775D,VIDEO CONNECTOR ASS'Y,Bộ phận kết nối tín hiệu
FMSV2023090145,110A1289569E,S600 CTL PCB,Bo mạch
FMSV2023090146,343A1295408G,LG FLEXIBLE SECTION ASSY ROHS,Vỏ ống dẫn
FMSV2023090146,42B12891190,SLIDE SLEEVE,Ống nối
FMSV2023090146,113Y200431B,NT TGCONT PCB,Bo mạch
FMSV2023090146,113Y200432B,NEW TV INTERFACE PCB,Bo mạch
FMSV2023090146,342A1118993C,BSA-C268A,Bộ phận uốn cong
FMSV2023090146,68B12078100,RUBBER FOR BSA,Vỏ cao su
FMSV2023090146,42B593410A,PIPE SLEEVE,Ống nối (đồng)
FMSV2023090146,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2023090146,68A1192809A,FCT-C283A,Kênh sinh thiết
FMSV2023090146,68B1140782A,PIPE ROHS,Ống nối (đồng)
FMSV2023090146,68B12952250,WATER JET TUBE,Kênh nước phụ
FMSV2023090146,370Y200590_,AW TUBE ASS''Y,Kênh khí nước
FMSV2023090147,342A1118995C,BSA-C180A,Bộ phận uốn cong
FMSV2023090147,68B12078100,RUBBER FOR BSA,Vỏ cao su
FMSV2023090147,54A3792370,NUT ASSY,Đai ốc (đồng)
FMSV2023090147,42B593410A,PIPE SLEEVE,Ống nối (đồng)
FMSV2023090150,68A1336787A,J TUBE,Kênh nước phụ
FMSV2023090150,370Y200213_,FCT-G391AH,Kênh sinh thiết
FMSV2023090150,10A1331996J,CHA-G403A,Đầu thu hình
FMSV2023090150,830Y200631C,BSA-G403A,Bộ phận uốn cong
FMSV2023090150,343A1337437B,FSA-G403A,Vỏ ống luồn
FMSV2023090150,113Y120087L,SC600 FPGA PCB ASSY,Bo mạch
FMSV2023090150,113Y120086P,SC600 MCU PCB ASSY,Bo mạch
FMSV2023090150,113Y120085G,LD PCB ASSY,Bo mạch
FMSV2023090150,68B11144712,RUBBER FOR BSA ROHS,Vỏ cao su
FMSV2023090150,68A1336794A,W TUBE,Kênh nước
FMSV2023090150,68A1336793A,A TUBE,Kênh khí
FMSV2023090150,68B12541530,FCT RING,Vòng sắt
FMSV2023090150,68A1333870A,PROTECTION TUBE A,Ống bảo vệ
FMSV2023090150,347N130337_,HANGING SLEEVE,Ống nối (đồng)
FMSV2023090150,350N130688_,RAIL COVER,Thanh ray
FMSV2023090150,363N130348_,SLIT GUIDE RAIL,Thanh ray
FMSV2023090150,308N130116_,SPECIAL SCREW,Ốc vít
FMSV2023090150,363N130360A,SPRING HOLDING BASE 1.3U1.2DLR,Giá đỡ
FMSV2023090150,401N130035_,SPLING HOLDING PLATE(1.2MM),Giá đỡ
FMSV2023090150,401N200040A,SPLING HOLDING PLATE(1.3MM),Giá đỡ
FMSV2023090150,110M171001T_,SCREW,Ốc vít
FMSV2023090150,350N102482C,FCTINLET COVER RUBBER,Vòng cao su
FMSV2023090150,317Y130069A,CAP,Nắp nhựa
FMSV2023090153,898Y201275E,ISA-G402A,Bộ phận thân ống soi
FMSV2023090153,347N130337_,HANGING SLEEVE,Ống nối (đồng)
FMSV2023090153,350N102482C,FCTINLET COVER RUBBER,Vòng cao su
